"Año";"Periodo";"Grados por encima o por debajo del promedio del mismo mes en el periodo 1981-2010"
"1979";"Enero";"-0,23"
"1979";"Febrero";"-0,49"
"1979";"Marzo";"-0,29"
"1979";"Abril";"-0,33"
"1979";"Mayo";"-0,29"
"1979";"Junio";"-0,26"
"1979";"Julio";"-0,33"
"1979";"Agosto";"-0,23"
"1979";"Septiembre";"-0,18"
"1979";"Octubre";"-0,12"
"1979";"Noviembre";"-0,15"
"1979";"Diciembre";"0,07"
"1980";"Enero";"-0,11"
"1980";"Febrero";"-0,05"
"1980";"Marzo";"-0,08"
"1980";"Abril";"0"
"1980";"Mayo";"0,07"
"1980";"Junio";"-0,08"
"1980";"Julio";"-0,04"
"1980";"Agosto";"-0,11"
"1980";"Septiembre";"-0,17"
"1980";"Octubre";"-0,22"
"1980";"Noviembre";"-0,19"
"1980";"Diciembre";"-0,27"
"1981";"Enero";"0,02"
"1981";"Febrero";"-0,05"
"1981";"Marzo";"0,03"
"1981";"Abril";"-0,03"
"1981";"Mayo";"-0,07"
"1981";"Junio";"-0,08"
"1981";"Julio";"-0,07"
"1981";"Agosto";"-0,06"
"1981";"Septiembre";"-0,14"
"1981";"Octubre";"-0,18"
"1981";"Noviembre";"-0,19"
"1981";"Diciembre";"-0,04"
"1982";"Enero";"-0,39"
"1982";"Febrero";"-0,29"
"1982";"Marzo";"-0,44"
"1982";"Abril";"-0,36"
"1982";"Mayo";"-0,21"
"1982";"Junio";"-0,25"
"1982";"Julio";"-0,17"
"1982";"Agosto";"-0,28"
"1982";"Septiembre";"-0,27"
"1982";"Octubre";"-0,28"
"1982";"Noviembre";"-0,28"
"1982";"Diciembre";"-0,03"
"1983";"Enero";"0,04"
"1983";"Febrero";"0"
"1983";"Marzo";"0,01"
"1983";"Abril";"-0,09"
"1983";"Mayo";"0,03"
"1983";"Junio";"-0,09"
"1983";"Julio";"-0,15"
"1983";"Agosto";"-0,07"
"1983";"Septiembre";"0"
"1983";"Octubre";"-0,24"
"1983";"Noviembre";"-0,12"
"1983";"Diciembre";"-0,23"
"1984";"Enero";"-0,21"
"1984";"Febrero";"-0,36"
"1984";"Marzo";"-0,2"
"1984";"Abril";"-0,29"
"1984";"Mayo";"-0,05"
"1984";"Junio";"-0,33"
"1984";"Julio";"-0,36"
"1984";"Agosto";"-0,26"
"1984";"Septiembre";"-0,29"
"1984";"Octubre";"-0,28"
"1984";"Noviembre";"-0,42"
"1984";"Diciembre";"-0,4"
"1985";"Enero";"-0,23"
"1985";"Febrero";"-0,5"
"1985";"Marzo";"-0,34"
"1985";"Abril";"-0,29"
"1985";"Mayo";"-0,28"
"1985";"Junio";"-0,29"
"1985";"Julio";"-0,37"
"1985";"Agosto";"-0,22"
"1985";"Septiembre";"-0,32"
"1985";"Octubre";"-0,41"
"1985";"Noviembre";"-0,36"
"1985";"Diciembre";"-0,35"
"1986";"Enero";"-0,24"
"1986";"Febrero";"-0,18"
"1986";"Marzo";"-0,22"
"1986";"Abril";"-0,12"
"1986";"Mayo";"-0,11"
"1986";"Junio";"-0,27"
"1986";"Julio";"-0,28"
"1986";"Agosto";"-0,26"
"1986";"Septiembre";"-0,33"
"1986";"Octubre";"-0,35"
"1986";"Noviembre";"-0,26"
"1986";"Diciembre";"-0,25"
"1987";"Enero";"-0,14"
"1987";"Febrero";"-0,09"
"1987";"Marzo";"-0,29"
"1987";"Abril";"-0,15"
"1987";"Mayo";"-0,11"
"1987";"Junio";"-0,02"
"1987";"Julio";"0,08"
"1987";"Agosto";"-0,09"
"1987";"Septiembre";"-0,03"
"1987";"Octubre";"-0,11"
"1987";"Noviembre";"-0,14"
"1987";"Diciembre";"0,07"
"1988";"Enero";"0,06"
"1988";"Febrero";"-0,14"
"1988";"Marzo";"0"
"1988";"Abril";"-0,01"
"1988";"Mayo";"0,06"
"1988";"Junio";"0,02"
"1988";"Julio";"-0,03"
"1988";"Agosto";"0,01"
"1988";"Septiembre";"0,01"
"1988";"Octubre";"-0,11"
"1988";"Noviembre";"-0,33"
"1988";"Diciembre";"-0,17"
"1989";"Enero";"-0,41"
"1989";"Febrero";"-0,14"
"1989";"Marzo";"-0,16"
"1989";"Abril";"-0,13"
"1989";"Mayo";"-0,25"
"1989";"Junio";"-0,23"
"1989";"Julio";"-0,07"
"1989";"Agosto";"-0,15"
"1989";"Septiembre";"-0,09"
"1989";"Octubre";"-0,14"
"1989";"Noviembre";"-0,25"
"1989";"Diciembre";"-0,04"
"1990";"Enero";"-0,04"
"1990";"Febrero";"-0,08"
"1990";"Marzo";"0,27"
"1990";"Abril";"0,13"
"1990";"Mayo";"0,14"
"1990";"Junio";"-0,01"
"1990";"Julio";"0,09"
"1990";"Agosto";"0,01"
"1990";"Septiembre";"-0,03"
"1990";"Octubre";"0,08"
"1990";"Noviembre";"0,12"
"1990";"Diciembre";"0,05"
"1991";"Enero";"0,03"
"1991";"Febrero";"0,07"
"1991";"Marzo";"-0,06"
"1991";"Abril";"0,06"
"1991";"Mayo";"-0,02"
"1991";"Junio";"0,2"
"1991";"Julio";"0,12"
"1991";"Agosto";"0,04"
"1991";"Septiembre";"-0,01"
"1991";"Octubre";"-0,11"
"1991";"Noviembre";"-0,12"
"1991";"Diciembre";"-0,14"
"1992";"Enero";"-0,02"
"1992";"Febrero";"-0,05"
"1992";"Marzo";"-0,05"
"1992";"Abril";"-0,24"
"1992";"Mayo";"-0,18"
"1992";"Junio";"-0,15"
"1992";"Julio";"-0,29"
"1992";"Agosto";"-0,31"
"1992";"Septiembre";"-0,41"
"1992";"Octubre";"-0,36"
"1992";"Noviembre";"-0,38"
"1992";"Diciembre";"-0,26"
"1993";"Enero";"-0,12"
"1993";"Febrero";"-0,11"
"1993";"Marzo";"-0,17"
"1993";"Abril";"-0,14"
"1993";"Mayo";"-0,13"
"1993";"Junio";"-0,13"
"1993";"Julio";"-0,18"
"1993";"Agosto";"-0,21"
"1993";"Septiembre";"-0,32"
"1993";"Octubre";"-0,19"
"1993";"Noviembre";"-0,31"
"1993";"Diciembre";"-0,15"
"1994";"Enero";"-0,2"
"1994";"Febrero";"-0,44"
"1994";"Marzo";"-0,22"
"1994";"Abril";"-0,1"
"1994";"Mayo";"-0,19"
"1994";"Junio";"-0,08"
"1994";"Julio";"-0,11"
"1994";"Agosto";"-0,21"
"1994";"Septiembre";"-0,04"
"1994";"Octubre";"-0,05"
"1994";"Noviembre";"-0,01"
"1994";"Diciembre";"-0,07"
"1995";"Enero";"0,06"
"1995";"Febrero";"0,26"
"1995";"Marzo";"-0,04"
"1995";"Abril";"0,06"
"1995";"Mayo";"-0,07"
"1995";"Junio";"0,09"
"1995";"Julio";"0,06"
"1995";"Agosto";"0,07"
"1995";"Septiembre";"0"
"1995";"Octubre";"0,04"
"1995";"Noviembre";"0,01"
"1995";"Diciembre";"-0,14"
"1996";"Enero";"-0,17"
"1996";"Febrero";"-0,02"
"1996";"Marzo";"-0,12"
"1996";"Abril";"-0,16"
"1996";"Mayo";"-0,21"
"1996";"Junio";"-0,14"
"1996";"Julio";"-0,04"
"1996";"Agosto";"0,06"
"1996";"Septiembre";"-0,13"
"1996";"Octubre";"-0,2"
"1996";"Noviembre";"0,02"
"1996";"Diciembre";"-0,05"
"1997";"Enero";"-0,18"
"1997";"Febrero";"-0,12"
"1997";"Marzo";"0,02"
"1997";"Abril";"-0,15"
"1997";"Mayo";"-0,09"
"1997";"Junio";"0,09"
"1997";"Julio";"-0,01"
"1997";"Agosto";"0,04"
"1997";"Septiembre";"0,13"
"1997";"Octubre";"0,19"
"1997";"Noviembre";"0,22"
"1997";"Diciembre";"0,15"
"1998";"Enero";"0,14"
"1998";"Febrero";"0,35"
"1998";"Marzo";"0,16"
"1998";"Abril";"0,3"
"1998";"Mayo";"0,34"
"1998";"Junio";"0,36"
"1998";"Julio";"0,29"
"1998";"Agosto";"0,32"
"1998";"Septiembre";"0,14"
"1998";"Octubre";"0,06"
"1998";"Noviembre";"0"
"1998";"Diciembre";"0,11"
"1999";"Enero";"-0,04"
"1999";"Febrero";"0,15"
"1999";"Marzo";"-0,2"
"1999";"Abril";"-0,12"
"1999";"Mayo";"-0,14"
"1999";"Junio";"-0,06"
"1999";"Julio";"-0,04"
"1999";"Agosto";"-0,06"
"1999";"Septiembre";"0"
"1999";"Octubre";"-0,06"
"1999";"Noviembre";"-0,07"
"1999";"Diciembre";"-0,02"
"2000";"Enero";"-0,2"
"2000";"Febrero";"0,06"
"2000";"Marzo";"-0,02"
"2000";"Abril";"0,1"
"2000";"Mayo";"-0,06"
"2000";"Junio";"-0,07"
"2000";"Julio";"-0,07"
"2000";"Agosto";"0"
"2000";"Septiembre";"-0,04"
"2000";"Octubre";"-0,16"
"2000";"Noviembre";"-0,11"
"2000";"Diciembre";"-0,14"
"2001";"Enero";"-0,04"
"2001";"Febrero";"-0,09"
"2001";"Marzo";"0,04"
"2001";"Abril";"0,03"
"2001";"Mayo";"0,12"
"2001";"Junio";"0,06"
"2001";"Julio";"0,15"
"2001";"Agosto";"0,12"
"2001";"Septiembre";"0,12"
"2001";"Octubre";"0,13"
"2001";"Noviembre";"0,34"
"2001";"Diciembre";"0,23"
"2002";"Enero";"0,29"
"2002";"Febrero";"0,19"
"2002";"Marzo";"0,39"
"2002";"Abril";"0,12"
"2002";"Mayo";"0,24"
"2002";"Junio";"0,2"
"2002";"Julio";"0,2"
"2002";"Agosto";"0,13"
"2002";"Septiembre";"0,2"
"2002";"Octubre";"0,16"
"2002";"Noviembre";"0,18"
"2002";"Diciembre";"0,08"
"2003";"Enero";"0,3"
"2003";"Febrero";"0,11"
"2003";"Marzo";"0,03"
"2003";"Abril";"0,06"
"2003";"Mayo";"0,15"
"2003";"Junio";"0,04"
"2003";"Julio";"0,12"
"2003";"Agosto";"0,22"
"2003";"Septiembre";"0,27"
"2003";"Octubre";"0,34"
"2003";"Noviembre";"0,2"
"2003";"Diciembre";"0,38"
"2004";"Enero";"0,15"
"2004";"Febrero";"0,22"
"2004";"Marzo";"0,18"
"2004";"Abril";"0,17"
"2004";"Mayo";"-0,05"
"2004";"Junio";"0,08"
"2004";"Julio";"-0,11"
"2004";"Agosto";"0,01"
"2004";"Septiembre";"0,16"
"2004";"Octubre";"0,25"
"2004";"Noviembre";"0,31"
"2004";"Diciembre";"0,1"
"2005";"Enero";"0,34"
"2005";"Febrero";"0,2"
"2005";"Marzo";"0,28"
"2005";"Abril";"0,25"
"2005";"Mayo";"0,23"
"2005";"Junio";"0,25"
"2005";"Julio";"0,25"
"2005";"Agosto";"0,21"
"2005";"Septiembre";"0,33"
"2005";"Octubre";"0,41"
"2005";"Noviembre";"0,37"
"2005";"Diciembre";"0,3"
"2006";"Enero";"0,15"
"2006";"Febrero";"0,29"
"2006";"Marzo";"0,18"
"2006";"Abril";"0,11"
"2006";"Mayo";"0,09"
"2006";"Junio";"0,26"
"2006";"Julio";"0,17"
"2006";"Agosto";"0,25"
"2006";"Septiembre";"0,24"
"2006";"Octubre";"0,38"
"2006";"Noviembre";"0,34"
"2006";"Diciembre";"0,39"
"2007";"Enero";"0,55"
"2007";"Febrero";"0,29"
"2007";"Marzo";"0,2"
"2007";"Abril";"0,36"
"2007";"Mayo";"0,24"
"2007";"Junio";"0,15"
"2007";"Julio";"0,17"
"2007";"Agosto";"0,16"
"2007";"Septiembre";"0,11"
"2007";"Octubre";"0,23"
"2007";"Noviembre";"0,2"
"2007";"Diciembre";"0,11"
"2008";"Enero";"-0,14"
"2008";"Febrero";"-0,12"
"2008";"Marzo";"0,21"
"2008";"Abril";"0,06"
"2008";"Mayo";"0,06"
"2008";"Junio";"-0,02"
"2008";"Julio";"0,14"
"2008";"Agosto";"0,1"
"2008";"Septiembre";"0,17"
"2008";"Octubre";"0,28"
"2008";"Noviembre";"0,29"
"2008";"Diciembre";"0,15"
"2009";"Enero";"0,25"
"2009";"Febrero";"0,16"
"2009";"Marzo";"0,07"
"2009";"Abril";"0,12"
"2009";"Mayo";"0,16"
"2009";"Junio";"0,18"
"2009";"Julio";"0,3"
"2009";"Agosto";"0,22"
"2009";"Septiembre";"0,3"
"2009";"Octubre";"0,32"
"2009";"Noviembre";"0,38"
"2009";"Diciembre";"0,27"
"2010";"Enero";"0,38"
"2010";"Febrero";"0,42"
"2010";"Marzo";"0,46"
"2010";"Abril";"0,44"
"2010";"Mayo";"0,36"
"2010";"Junio";"0,26"
"2010";"Julio";"0,22"
"2010";"Agosto";"0,22"
"2010";"Septiembre";"0,3"
"2010";"Octubre";"0,36"
"2010";"Noviembre";"0,37"
"2010";"Diciembre";"0,1"
"2011";"Enero";"0,1"
"2011";"Febrero";"0,02"
"2011";"Marzo";"0,14"
"2011";"Abril";"0,2"
"2011";"Mayo";"0,12"
"2011";"Junio";"0,19"
"2011";"Julio";"0,31"
"2011";"Agosto";"0,29"
"2011";"Septiembre";"0,24"
"2011";"Octubre";"0,27"
"2011";"Noviembre";"0,14"
"2011";"Diciembre";"0,16"
"2012";"Enero";"0,03"
"2012";"Febrero";"0,02"
"2012";"Marzo";"0,06"
"2012";"Abril";"0,24"
"2012";"Mayo";"0,33"
"2012";"Junio";"0,29"
"2012";"Julio";"0,21"
"2012";"Agosto";"0,25"
"2012";"Septiembre";"0,31"
"2012";"Octubre";"0,46"
"2012";"Noviembre";"0,43"
"2012";"Diciembre";"0,17"
"2013";"Enero";"0,34"
"2013";"Febrero";"0,21"
"2013";"Marzo";"0,22"
"2013";"Abril";"0,15"
"2013";"Mayo";"0,18"
"2013";"Junio";"0,28"
"2013";"Julio";"0,14"
"2013";"Agosto";"0,23"
"2013";"Septiembre";"0,37"
"2013";"Octubre";"0,29"
"2013";"Noviembre";"0,39"
"2013";"Diciembre";"0,33"
"2014";"Enero";"0,32"
"2014";"Febrero";"0,1"
"2014";"Marzo";"0,28"
"2014";"Abril";"0,29"
"2014";"Mayo";"0,34"
"2014";"Junio";"0,25"
"2014";"Julio";"0,23"
"2014";"Agosto";"0,31"
"2014";"Septiembre";"0,38"
"2014";"Octubre";"0,4"
"2014";"Noviembre";"0,29"
"2014";"Diciembre";"0,39"
"2015";"Enero";"0,38"
"2015";"Febrero";"0,4"
"2015";"Marzo";"0,42"
"2015";"Abril";"0,24"
"2015";"Mayo";"0,34"
"2015";"Junio";"0,36"
"2015";"Julio";"0,32"
"2015";"Agosto";"0,42"
"2015";"Septiembre";"0,46"
"2015";"Octubre";"0,68"
"2015";"Noviembre";"0,62"
"2015";"Diciembre";"0,74"
"2016";"Enero";"0,74"
"2016";"Febrero";"0,89"
"2016";"Marzo";"0,82"
"2016";"Abril";"0,71"
"2016";"Mayo";"0,58"
"2016";"Junio";"0,44"
"2016";"Julio";"0,53"
"2016";"Agosto";"0,58"
"2016";"Septiembre";"0,55"
"2016";"Octubre";"0,58"
"2016";"Noviembre";"0,64"
"2016";"Diciembre";"0,53"
"2017";"Enero";"0,59"
"2017";"Febrero";"0,7"
"2017";"Marzo";"0,69"
"2017";"Abril";"0,51"
"2017";"Mayo";"0,53"
"2017";"Junio";"0,38"
"2017";"Julio";"0,43"
"2017";"Agosto";"0,47"
"2017";"Septiembre";"0,48"
"2017";"Octubre";"0,6"
"2017";"Noviembre";"0,49"
"2017";"Diciembre";"0,57"
"2018";"Enero";"0,43"
"2018";"Febrero";"0,46"
"2018";"Marzo";"0,47"
"2018";"Abril";"0,49"
"2018";"Mayo";"0,41"
"2018";"Junio";"0,4"
"2018";"Julio";"0,44"
"2018";"Agosto";"0,38"
"2018";"Septiembre";"0,4"
"2018";"Octubre";"0,59"
"2018";"Noviembre";"0,48"
"2018";"Diciembre";"0,53"
"2019";"Enero";"0,48"
"2019";"Febrero";"0,51"
"2019";"Marzo";"0,7"
"2019";"Abril";"0,62"
"2019";"Mayo";"0,52"
"2019";"Junio";"0,54"
"2019";"Julio";"0,56"
"2019";"Agosto";"0,53"
"2019";"Septiembre";"0,58"
"2019";"Octubre";"0,69"
"2019";"Noviembre";"0,64"
"2019";"Diciembre";"0,74"
"2020";"Enero";"0,77"
"2020";"Febrero";"0,8"
"2020";"Marzo";"0,68"
"2020";"Abril";"0,7"
"2020";"Mayo";"0,63"
"2020";"Junio";"0,53"
"2020";"Julio";"0,49"
"2020";"Agosto";"0,44"
"2020";"Septiembre";"0,63"
;;
;;
"Métrica":"Grados por encima o por debajo del promedio del mismo mes en el periodo 1981-2010"
"Fuente":"NOAA"
"Clasificación":""
"Unidad":"Grados"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/aumento-temperatura-global-mes-mes/be6cd260-f423-46da-bd65-045189f7f87a"
"Titulo":"El aumento de la temperatura global mes a mes"
"Subtitulo":""
